rank,threshold_pct,market,year,symbol,n_days,penny_day_ratio,median_close,abs_ret_ge_10_days,abs_ret_ge_20_days,abs_ret_ge_30_days,abs_gap_ge_10_days,range_ge_10_days
10,30,TW,2025,6610.TWO,242,0.8347107438016529,14.875,10,2,2,1,34
1,30,UK,2025,CDFF.L,253,0.0,2599.732421875,27,27,27,27,0
2,30,UK,2025,VOX.L,253,1.0,0.1500000059604644,26,25,24,25,4
3,30,UK,2025,FIL.L,253,0.6324110671936759,0.1099999994039535,23,23,23,23,0
4,30,UK,2025,BMTO.L,253,0.0,15.498380661010742,24,23,22,22,3
5,30,UK,2025,HSM.L,253,0.0,309.8845520019531,22,22,22,22,4
6,30,UK,2025,HOME.L,253,0.4229249011857707,38.04999923706055,21,21,21,21,0
7,30,UK,2025,HYG.L,253,0.3636363636363636,6.0,25,22,21,22,5
8,30,UK,2025,CHP.L,253,1.0,0.0040000001899898,49,37,20,4,180
9,30,UK,2025,OT4.L,253,0.6284584980237155,0.0649999976158142,20,19,19,19,1
10,30,UK,2025,CRWN.L,253,0.4426877470355731,28.100000381469727,19,19,19,19,0
1,30,US,2025,PPCB,250,0.212,3.0,73,48,33,60,109
2,30,US,2025,MYPSW,250,1.0,0.0160000007599592,85,45,23,73,104
3,30,US,2025,MYSEW,250,1.0,0.2189999967813491,101,46,20,88,122
4,30,US,2025,SMX,250,0.0,1562.9713745117188,82,37,20,33,174
5,30,US,2025,LUCYW,250,1.0,0.0799999982118606,93,44,19,92,110
6,30,US,2025,RNWWW,250,1.0,0.1169999986886978,90,39,19,93,141
7,30,US,2025,RGC,250,0.3,13.125,60,29,18,17,119
